3000,9,70,Promedio,Propietario
2700,9,99,Mala,Propietario
2995,8,120,Mala,Propietario
5500,7,56,Promedio,Intermediario
3988,7,50,Mala,Propietario
3900,7,83,Mala,Propietario
2800,7,106,Mala,Propietario
6800,6,70,Excelente,Intermediario
6295,6,66,Promedio,Intermediario
3700,6,60,Mala,Propietario
7450,5,55,Promedio,Intermediario
6800,5,67,Mala,Propietario
6795,5,62,Promedio,Propietario
6476,5,60,Mala,Propietario
6450,5,55,Mala,Propietario
4800,5,75,Mala,Propietario
9695,4,44,Promedio,Intermediario
9675,4,37,Excelente,Intermediario
9595,4,44,Promedio,Propietario
8500,4,55,Promedio,Propietario
7995,4,46,Mala,Propietario
6995,4,56,Mala,Propietario
6450,4,65,Mala,Propietario
14350,3,29,Excelente,Intermediario
11965,3,23,Mala,Intermediario
11850,3,27,Excelente,Intermediario
11000,3,31,Promedio,Intermediario
7600,3,45,Mala,Propietario
19888,2,18,Excelente,Intermediario
16000,2,19,Excelente,Intermediario
17650,1,9,Excelente,Intermediario
